group_size,batch_prompts,algorithm,step,optimizer_steps,sampled_actions,pair_presentations,expected_reward,best_action_probability,entropy,kl_reference,loss,value_loss,clip_fraction,old_policy_kl,zero_group_fraction
2,64,grpo,90,360,11520,0,0.9975905390028562,0.9977718063527664,0.017106984003039897,1.08150530466507,0.03245850133163002,0.0,0.0,4.290755377038517e-08,1.0
2,64,grpo,91,364,11648,0,0.9975765760216927,0.9977584968380213,0.01719422969639116,1.0814180589717188,0.032455464642901784,0.0,0.0,4.243353457424609e-08,1.0
2,64,grpo,92,368,11776,0,0.9975625159440555,0.9977450949207747,0.017282049763167526,1.0813302389049424,0.03245365204944525,0.0,0.0,4.257082797096623e-08,1.0
2,64,grpo,93,372,11904,0,0.9975484543531079,0.9977316899667766,0.017369944922575004,1.0812423437455347,0.03246297484780279,0.0,0.0,4.196494770053594e-08,1.0
2,64,grpo,94,376,12032,0,0.9975339027373122,0.9977178067184016,0.017460826382509426,1.0811514622856004,0.0324227137524326,0.0,0.0,4.5074724629588475e-08,1.0
2,64,grpo,95,380,12160,0,0.9975189182131491,0.9977035053648617,0.01755424814161017,1.0810580405264998,0.03243889087881913,0.0,0.0,4.799546388582765e-08,1.0
2,64,grpo,96,384,12288,0,0.997503987531714,0.997689254028927,0.01764741834361921,1.0809648703244905,0.032459704072108846,0.0,0.0,4.6758681578424145e-08,1.0
2,64,grpo,97,388,12416,0,0.9974889277589956,0.9976748820294478,0.017741265115725952,1.0808710235523837,0.032437665321887264,0.0,0.0,4.7126088776953805e-08,1.0
2,64,grpo,98,392,12544,0,0.9974989120933616,0.997686575709289,0.017646587781090246,1.0809657008870195,0.03197630654636395,0.0,0.0,1.1367678213881443e-06,0.984375
2,64,grpo,99,396,12672,0,0.9975102302797314,0.9976994516119273,0.017539960468693112,1.0810723281994168,0.032413030851580385,0.0,0.0,1.4157998423130963e-06,1.0
2,64,grpo,100,400,12800,0,0.9975607516054734,0.9977545715225952,0.017133506003553352,1.0814787826645562,0.03152753968763658,0.0,0.0,5.122809681326803e-06,0.984375
2,64,grpo,101,404,12928,0,0.9976037121612069,0.9978008914855571,0.016780981794886272,1.0818313068732237,0.03241675692992819,0.0,0.0,5.253922421941739e-06,1.0
2,64,grpo,102,408,13056,0,0.997621613647425,0.9978205536979708,0.016617838554736496,1.0819944501133734,0.03242297258324057,0.0,0.0,1.8978433154140542e-06,1.0
2,64,grpo,103,412,13184,0,0.9976455824331427,0.9978457706327708,0.016410009283011222,1.0822022793850987,0.031880274304112596,0.0,0.0,1.9248891895333263e-06,0.984375
2,64,grpo,104,416,13312,0,0.9976631772357659,0.9978641329836395,0.016251623211728183,1.0823606654563815,0.032489885215003976,0.0,0.0,1.5521009462044833e-06,1.0
2,64,grpo,105,420,13440,0,0.9977292747422106,0.9979193393734849,0.0158410823920229,1.0827712062760868,0.03174028969855611,0.0,0.0,3.56811669565734e-06,0.984375
2,64,grpo,106,424,13568,0,0.9978304091762982,0.998015129322334,0.015150389303942559,1.0834618993641674,0.031471275774430936,0.0,0.0,1.102075800819933e-05,0.984375
2,64,grpo,107,428,13696,0,0.9978970900782023,0.9980812830796504,0.01465928119365674,1.0839530074744528,0.032519339870017525,0.0,0.0,7.253400852225346e-06,1.0
2,64,grpo,108,432,13824,0,0.9980223901570512,0.998190174397376,0.013934063975456244,1.0846782246926536,0.03211877110111186,0.0,0.0,5.131275425072749e-06,0.984375
2,64,grpo,109,436,13952,0,0.9981363154143823,0.9982875137116682,0.013294247451822627,1.0853180412162868,0.032525266066105146,0.0,0.0,4.223551106404427e-06,1.0
2,64,grpo,110,440,14080,0,0.9982021905478817,0.9983437810913283,0.012920085987456626,1.085692202680653,0.032587879301324375,0.0,0.0,1.5477166834548835e-06,1.0
2,64,grpo,111,444,14208,0,0.998240281426859,0.9983760983013337,0.012703391790637794,1.085908896877472,0.03259314791573635,0.0,0.0,5.659598052488711e-07,1.0
2,64,grpo,112,448,14336,0,0.9982610356551369,0.9983933185283306,0.012586684709440004,1.08602560395867,0.032561577377311975,0.0,0.0,1.945654958098656e-07,1.0
2,64,grpo,113,452,14464,0,0.998271271323897,0.9984013745863793,0.012531252312306104,1.0860810363558036,0.03261670632919722,0.0,0.0,6.366993784185831e-08,1.0
2,64,grpo,114,456,14592,0,0.9982749549339858,0.9984037310875642,0.012514178316650654,1.086098110351459,0.03260856863745847,0.0,0.0,2.0855185291436767e-08,1.0
2,64,grpo,115,460,14720,0,0.9982740544859867,0.9984020335668836,0.01252416200042936,1.0860881266676805,0.03258422738790265,0.0,0.0,1.0065816382581012e-08,1.0
2,64,grpo,116,464,14848,0,0.9982701648483043,0.9983976867641986,0.012551837176901288,1.0860604514912087,0.032600386413350176,0.0,0.0,1.127336591424464e-08,1.0
2,64,grpo,117,468,14976,0,0.9982637153955157,0.9983909866083126,0.012594779739372265,1.0860175089287376,0.03254069776416018,0.0,0.0,1.9381501544281876e-08,1.0
2,64,grpo,118,472,15104,0,0.9982917677892698,0.9984097105628307,0.012444444011742044,1.0861678446563676,0.03191400911214864,0.0,0.0,1.6576304655925886e-06,0.984375
