step,time,replan_reason,joint_error_rad,max_velocity_bound_violation,solver_violation
199,3.980000000000003,reused,5.026748538604307e-16,0.0,0.0
200,4.000000000000003,reused,5.026748538604307e-16,0.0,0.0
201,4.020000000000002,periodic,5.026748538604307e-16,0.0,0.0
202,4.040000000000002,reused,5.026748538604307e-16,0.0,0.0
203,4.060000000000001,reused,5.026748538604307e-16,0.0,0.0
204,4.080000000000001,reused,5.026748538604307e-16,0.0,0.0
205,4.1000000000000005,reused,5.026748538604307e-16,0.0,0.0
206,4.12,periodic,5.026748538604307e-16,0.0,0.0
207,4.14,reused,5.026748538604307e-16,0.0,0.0
208,4.159999999999999,reused,5.026748538604307e-16,0.0,0.0
209,4.179999999999999,reused,5.026748538604307e-16,0.0,0.0
210,4.199999999999998,reused,5.026748538604307e-16,0.0,0.0
211,4.219999999999998,periodic,5.026748538604307e-16,0.0,0.0
212,4.2399999999999975,reused,5.026748538604307e-16,0.0,0.0
213,4.259999999999997,reused,5.026748538604307e-16,0.0,0.0
214,4.279999999999997,reused,5.026748538604307e-16,0.0,0.0
215,4.299999999999996,reused,5.026748538604307e-16,0.0,0.0
216,4.319999999999996,periodic,5.026748538604307e-16,0.0,0.0
217,4.339999999999995,reused,5.026748538604307e-16,0.0,0.0
218,4.359999999999995,reused,5.026748538604307e-16,0.0,0.0
219,4.379999999999995,reused,5.026748538604307e-16,0.0,0.0
220,4.399999999999994,reused,5.026748538604307e-16,0.0,0.0
221,4.419999999999994,periodic,5.026748538604307e-16,0.0,0.0
222,4.439999999999993,reused,5.026748538604307e-16,0.0,0.0
223,4.459999999999993,reused,5.026748538604307e-16,0.0,0.0
224,4.479999999999992,reused,5.026748538604307e-16,0.0,0.0
225,4.499999999999992,reused,5.026748538604307e-16,0.0,0.0
226,4.519999999999992,periodic,5.026748538604307e-16,0.0,0.0
227,4.539999999999991,reused,5.026748538604307e-16,0.0,0.0
228,4.559999999999991,reused,5.026748538604307e-16,0.0,0.0
229,4.57999999999999,reused,5.026748538604307e-16,0.0,0.0
230,4.59999999999999,reused,5.026748538604307e-16,0.0,0.0
231,4.6199999999999894,periodic,5.026748538604307e-16,0.0,0.0
232,4.639999999999989,reused,5.026748538604307e-16,0.0,0.0
233,4.659999999999989,reused,5.026748538604307e-16,0.0,0.0
234,4.679999999999988,reused,5.026748538604307e-16,0.0,0.0
235,4.699999999999988,reused,5.026748538604307e-16,0.0,0.0
236,4.719999999999987,periodic,5.026748538604307e-16,0.0,0.0
237,4.739999999999987,reused,5.026748538604307e-16,0.0,0.0
238,4.7599999999999865,reused,5.026748538604307e-16,0.0,0.0
239,4.779999999999986,reused,5.026748538604307e-16,0.0,0.0
240,4.799999999999986,reused,5.026748538604307e-16,0.0,0.0
241,4.819999999999985,periodic,5.026748538604307e-16,0.0,0.0
242,4.839999999999985,reused,5.026748538604307e-16,0.0,0.0
243,4.859999999999984,reused,5.026748538604307e-16,0.0,0.0
244,4.879999999999984,reused,5.026748538604307e-16,0.0,0.0
245,4.8999999999999835,reused,5.026748538604307e-16,0.0,0.0
246,4.919999999999983,periodic,5.026748538604307e-16,0.0,0.0
247,4.939999999999983,reused,5.026748538604307e-16,0.0,0.0
248,4.959999999999982,reused,5.026748538604307e-16,0.0,0.0
249,4.979999999999982,reused,5.026748538604307e-16,0.0,0.0
250,4.999999999999981,reused,5.026748538604307e-16,0.0,0.0
